"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL3431030";"";"None";"329.36";"0";"3.72";"TCMDC-143192";"CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(C#N)c3)n2)cc1";"IC50";"'='";"25118.86";"nM";"4.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3430914";"";"None";"355.46";"0";"4.11";"TCMDC-143196";"Cc1cc(C)cc(NS(=O)(=O)c2cc(-c3cc(C)n[nH]3)ccc2C)c1";"IC50";"'='";"7943.28";"nM";"5.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431033";"";"None";"461.52";"0";"2.78";"TCMDC-143197";"O=S(=O)(c1cccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)c1)N1CCOCC1";"IC50";"'='";"12589.25";"nM";"4.90";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431039";"";"None";"309.39";"0";"3.18";"TCMDC-143203";"O=C(NCCc1cccnc1)c1csc(-c2ccccc2)n1";"IC50";"'='";"63.1";"nM";"7.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431042";"";"None";"260.36";"0";"3.69";"TCMDC-143207";"CC(=O)Nc1nc(-c2cc(C)ccc2C)c(C)s1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431052";"";"None";"572.43";"0";"2.26";"TCMDC-143217";"Cc1nn(-c2nc(N)nc(-c3ccccn3)n2)c(N)c1-c1ccccc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431059";"";"None";"354.41";"0";"2.17";"TCMDC-143226";"CCOc1ccc(OCC(=O)N2c3ccccc3CC2C(=O)NC)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431073";"";"None";"441.32";"0";"0.65";"TCMDC-143240";"Cl.Cl.Nc1nonc1-c1nc2cncc(C(=O)N3CC[C@H](N)C3)c2n1CC1CC1";"IC50";"'='";"12589.25";"nM";"4.90";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431078";"";"None";"478.98";"0";"4.33";"TCMDC-143245";"CC(C)c1sc(Cl)nc1C(=O)NCCc1nc(C(=O)Nc2ccc3c(c2)OCO3)cs1";"IC50";"'='";"7943.28";"nM";"5.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431082";"";"None";"573.56";"0";"2.91";"TCMDC-143249";"N#Cc1cccc(Nc2nccc(N3CCC(NS(=O)(=O)c4cccc(C#N)c4)CC3)n2)c1.O=C(O)C(F)(F)F";"IC50";"'='";"7943.28";"nM";"5.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL1585368";"";"None";"338.45";"0";"4.73";"TCMDC-143252";"CCCCN(C(=O)c1ccc(NC(=O)C(C)C)cc1)c1ccccc1";"IC50";"'='";"12589.25";"nM";"4.90";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431085";"";"None";"325.80";"0";"3.50";"TCMDC-143253";"O=C(NCCc1ccccc1Cl)c1cccn1-c1cccnc1";"IC50";"'='";"79.43";"nM";"7.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
"CHEMBL3431092";"";"None";"463.58";"0";"4.23";"TCMDC-143260";"CC(C)COC(=O)Nc1ccc(N2CCC(CNS(=O)(=O)c3ccccc3)CC2)c(F)c1";"IC50";"'='";"1995.26";"nM";"5.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3431458";"GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.";"F";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL1075110";"Sterol 14-alpha demethylase";"Trypanosoma cruzi (strain CL Brener)";"SINGLE PROTEIN";"CHEMBL3430912";"29";"GSK Kinetoplastid Screening";"";"";"None";"";"";""
